id;codigo;nomoficial;alt_izqini;alt_izqfin;alt_derini;alt_derfin;nomanter;tipo_c;observa;bicisenda;lado_ciclo;recorrid_x;ciclo_obse;st_asgeojson
27609;7028;GARCIA DEL RIO AV.;0;0;3101;3199;;AVENIDA;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4763788663463,-34.5497947383962],[-58.4772473880606,-34.5499803403749]]]}
27610;17087;PINTO;0;0;0;0;;CALLE;;Bicisendas preexistentes;;;;{"type":"MultiLineString","coordinates":[[[-58.4770414267735,-34.5502496127849],[-58.4772473880606,-34.5499803403749]]]}
27627;19047;RIVADAVIA MARTIN, COMODORO;1602;1700;0;0;;CALLE;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4633645125068,-34.5413696486803],[-58.4634981316095,-34.5415078560518],[-58.4635315367978,-34.5415769599136],[-58.4635538076596,-34.5416921332327],[-58.4636039158165,-34.5418119132814],[-58.4636929966155,-34.5419639415672],[-58.4637709422926,-34.5420745074354],[-58.4638814578599,-34.5422326767934]]]}
27833;19047;RIVADAVIA MARTIN, COMODORO;0;0;1701;1793;;CALLE;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4638814578599,-34.5422326767934],[-58.4642081903618,-34.5429311520721]]]}
27629;19047;RIVADAVIA MARTIN, COMODORO;0;0;1795;1799;;CALLE;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4642081903618,-34.5429311520721],[-58.4643782221995,-34.5433063223236]]]}
27630;19047;RIVADAVIA MARTIN, COMODORO;1902;1982;1901;1981;;CALLE;;Bicisendas preexistentes;;;;{"type":"MultiLineString","coordinates":[[[-58.4649064557791,-34.5447404423538],[-58.4650104468051,-34.545203410573]]]}
27632;19047;RIVADAVIA MARTIN, COMODORO;2102;2200;0;0;;CALLE;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4663694442109,-34.5475813486664],[-58.4661790376838,-34.54738717734],[-58.4660683374795,-34.5472955875645],[-58.4659399244104,-34.5471600335751],[-58.4656517419266,-34.5468011056065]]]}
27634;16002;VUELTA DE OBLIGADO;0;0;0;0;OBLIGADO;CALLE;;Ciclovías Proyectadas;;;;{"type":"MultiLineString","coordinates":[[[-58.4672993224842,-34.5480429452583],[-58.4674365774814,-34.5478707454154]]]}
27635;19047;RIVADAVIA MARTIN, COMODORO;2202;2300;0;0;;CALLE;;Bicisendas preexistentes;;;;{"type":"MultiLineString","coordinates":[[[-58.4664925083296,-34.54740427718],[-58.4669406419649,-34.5476289584605],[-58.4672196059094,-34.5477754970521],[-58.4674365774814,-34.5478707454154]]]}
27637;19047;RIVADAVIA MARTIN, COMODORO;2302;2400;0;0;;CALLE;;Bicisendas preexistentes;;;;{"type":"MultiLineString","coordinates":[[[-58.4686675638325,-34.5483469743722],[-58.4674365774814,-34.5478707454154]]]}
